2024-05-04 13:08:15.424 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:08:46.004 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:09:03.570 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:09:34.073 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 395134, Zugriff verweigert
2024-05-04 13:09:34.167 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 395134, Zugriff verweigert
2024-05-04 13:10:03.544 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:10:05.678 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:10:28.926 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:10:44.138 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:10:59.233 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:11:00.937 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:11:01.854 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 395134, Zugriff verweigert
2024-05-04 13:25:56.809 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:25:56.888 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:25:57.003 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:26:05.243 +02:00 [ERR] Workspace:236                  [AddWindow]                    Window Whim Updater (Whim.Runner.exe) [6784] <WinUIDesktopWin32WindowClass> {0x000D0578} already exists in workspace Browser
2024-05-04 13:26:37.343 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 395674, Zugriff verweigert
2024-05-04 13:26:37.411 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 395674, Zugriff verweigert
2024-05-04 13:27:58.293 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 395674, Zugriff verweigert
2024-05-04 13:27:58.315 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:27:58.364 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:27:58.559 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:28:09.501 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 395674, Zugriff verweigert
2024-05-04 13:28:09.527 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 395674, Zugriff verweigert
2024-05-04 13:28:09.527 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 395674, Zugriff verweigert
2024-05-04 13:30:47.570 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 395674, Zugriff verweigert
2024-05-04 13:30:47.595 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:30:55.074 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:30:56.293 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:30:56.294 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:31:22.227 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:31:22.248 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
